Name,Year of release,Original Network,Number of Episodes,Duration,Content Rating,Rating,Genre,Cast,Rank
Six Flying Dragons,2015,SBS,50,60 min.,15+ - Teens 15 or older,8.8,action  historical  drama  political,"Yoo Ah In, Kim Myung Min, Shin Se Kyung, Byun Yo Han, Yoon Kyun Sang, Chun Ho Jin",#41
Our Beloved Summer,2021,"Netflix, SBS",16,60 min.,15+ - Teens 15 or older,8.7,romance  life  youth  drama,"Choi Woo Shik, Kim Da Mi, Kim Sung Cheol, Roh Jeong Eui, Ahn Dong Goo, Park Jin Joo",#42
The Guest,2018,OCN,16,1 hr. 7 min.,18+ Restricted (violence & profanity),8.8,thriller  mystery  horror  supernatural,"Kim Dong Wook, Kim Jae Wook, Jung Eun Chae, Lee Won Jong, Park Ho San, Ahn Nae Sang",#43
Dear My Friends,2016,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,life  drama  family  melodrama,"Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung",#44
While You Were Sleeping,2017,SBS,32,30 min.,15+ - Teens 15 or older,8.7,mystery  romance  drama  fantasy,"Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob, Hwang Young Hee, Shin Jae Ha",#45
The Penthouse 2,2021,SBS,13,1 hr. 15 min.,15+ - Teens 15 or older,8.8,thriller  mystery  drama  family,"Kim So Yeon, Eugene, Lee Ji Ah, Uhm Ki Joon, Yoon Jong Hoon, Shin Eun Kyung",#46
Chicago Typewriter,2017,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,comedy  romance  supernatural  political,"Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang, Jo  Woo Jin, Oh Na Ra",#47
18 Again,2020,jTBC,16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,romance  life  drama  fantasy,"Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon",#48
Arthdal Chronicles Part 2,2019,"Netflix,  tvN ",6,1 hr. 21 min.,15+ - Teens 15 or older,8.7,historical  romance  fantasy  political,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Jo Sung Ha, Park Hae Joon",#49
Arthdal Chronicles Part 3,2019,"Netflix,  tvN ",6,1 hr. 20 min.,15+ - Teens 15 or older,8.7,historical  romance  fantasy  political,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Sung Chul, Karata Erika",#50
Through the Darkness,2022,SBS,12,1 hr. 10 min.,18+ Restricted (violence & profanity),8.7,thriller  mystery  crime  drama,"Kim Nam Gil, Jin Seon Kyu, Kim So Jin, Ryeoun, Lee Dae Yeon, Kim Won Hae",#51
Dr. Romantic 2,2020,SBS,16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,romance  drama  medical  melodrama,"Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon, Shin Dong Wook, So Ju Yeon",#52
Defendant,2017,SBS,18,1 hr. 10 min.,15+ - Teens 15 or older,8.7,thriller  mystery  law  drama,"Ji Sung, Uhm Ki Joon, Kwon Yu Ri, Oh Chang Seok, Uhm Hyun Kyung, Jung Dong Gyu",#53
Our Blues,2022,"Netflix, tvN",20,1 hr. 10 min.,15+ - Teens 15 or older,8.7,romance  life  drama  melodrama,"Lee Byung Hun, Shin Min Ah, Cha Seung Won, Lee Jung Eun, Uhm Jung Hwa, Han Ji Min",#54
Sweet Home,2020,Netflix,10,52 min.,18+ Restricted (violence & profanity),8.7,horror  drama  sci-fi  supernatural,"Song Kang, Lee Jin Wook, Lee Si Young, Lee Do Hyun, Kim Nam Hee, Go Min Si",#55
"Kill Me, Heal Me",2015,MBC,20,1 hr. 2 min.,15+ - Teens 15 or older,8.7,psychological  comedy  romance  drama,"Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk, Kim Young Ae",#56
