Name,Year of release,Original Network,Number of Episodes,Duration,Content Rating,Rating,Genre,Cast,Rank
Leverage,2019,TV Chosun,16,60 min.,15+ - Teens 15 or older,8.3,action  mystery  comedy  crime,"Lee Dong Gun, Jeon Hye Bin, Kim Sae Ron, Kim Kwon, Yeo Hoe Hyun, Choi Ja Hye",#237
The King's Affection,2021,"KBS2, Netflix",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,historical  romance  drama,"Park Eun Bin, Rowoon, Nam Yoon Su, Choi Byung Chan, Bae Yoon Kyung, Jung Chae Yeon",#238
A Gentleman's Dignity,2012,SBS,20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,comedy  romance  drama  melodrama,"Jang Dong Gun, Kim Ha Neul, Kim Soo Ro, Kim Min Jong, Lee Jong Hyuk, Yoon Se Ah",#239
Rookie Historian Goo Hae Ryung,2019,"MBC, Netflix",40,35 min.,15+ - Teens 15 or older,8.3,historical  comedy  romance  drama,"Shin Se Kyung, Cha Eun Woo, Lee Ji Hoon, Park Ki Woong, Lee Ye Rim, Park Ji Hyun",#240
Ghost,2012,SBS,20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,thriller  mystery,"So Ji Sub, Lee Yun Hee, Kwak Do Won, Uhm Ki Joon, Lee Won Keun, Yoon  Ji Hye",#242
Love Playlist: Season 4,2019,"Naver TV Cast, vLive",16,20 min.,15+ - Teens 15 or older,8.3,romance  life  youth  drama,"Lee Yoo Jin, Park Jung Woo, Park Shi An, Bae Hyun Sung, Kim Sae Ron, Kim Hyung Suk",#243
God's Quiz: Reboot,2018,OCN,16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,mystery  medical,"Ryu Deok Hwan, Yoon Joo Hee, Park  Hyo Joo, Park Joon Myun, Kim Ki Doo, Kim Jae Won",#244
Missing Noir M,2015,OCN,10,1 hr. 10 min.,15+ - Teens 15 or older,8.3,thriller  mystery  drama,"Kim Kang Woo, Park Hee Soon, Jo Bo Ah, Kim  Gyu Chul, Park So Hyun, Oh Soon Tae",#245
Live Up to Your Name,2017,tvN,16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,historical  romance  medical  fantasy,"Kim Nam Gil, Kim Ah Joong, Yoo Min Kyu, Moon Ga Young, Yoon Joo Sang, Uhm Hyo Sub",#246
Queen for Seven Days,2017,KBS2,20,60 min.,15+ - Teens 15 or older,8.3,historical  romance  melodrama  political,"Park Min Young, Yeon Woo Jin, Lee Dong Gun, Jang Hyun Sung, Kang Shin Il, Go Bo Gyeol",#247
Memory,2016,tvN,16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,law  romance  life  drama,"Lee Sung Min, Kim Jee Soo, Park Jin Hee, Lee Jun Ho, Jeon Noh Min, Yoon So Hee",#248
A Korean Odyssey,2017,"Netflix, tvN",20,1 hr. 20 min.,15+ - Teens 15 or older,8.3,horror  comedy  romance  fantasy,"Lee Seung Gi, Cha Seung Won, Oh Yeon Seo, Lee Hong Ki, Jang Gwang, Lee El",#249
Voice 4: Judgment Hour,2021,tvN,14,1 hr. 3 min.,15+ - Teens 15 or older,8.3,action  thriller  mystery  crime,"Lee  Ha Na, Song Seung Heon, Son Eun Seo, Kang Seung Yoon, Baek Sung Hyun, Kim Joong Ki",#250
